x,y,z,tke
2.4568937,0.95913047,0.005,0.21142749
2.4549479,1.0396824,0.005,0.20929433
2.4495018,1.0131873,0.005,0.21370028
2.4311616,1.0571607,0.005,0.19899653
2.4535191,1.042665,0.005,0.21024562
2.4100225,1.0748036,0.005,0.19892687
2.4981287,0.85978699,0.005,0.18724923
2.4971929,0.84144109,0.005,0.23894581
2.4837325,0.84273154,0.005,0.26124653
2.442137,0.9419896,0.005,0.25306165
2.4537635,0.90068573,0.005,0.25647178
2.4521394,0.91863436,0.005,0.22312194
2.4364016,0.90166956,0.005,0.27562511
2.4575129,0.87897748,0.005,0.22184758
2.4986908,0.81984901,0.005,0.19761789
2.4721968,0.85895199,0.005,0.26109114
2.2018526,1.2342368,0.005,0.22036575
2.1960127,1.2541995,0.005,0.20107704
2.1632724,1.2377676,0.005,0.22370388
2.1579127,1.2571336,0.005,0.19891855
2.150876,1.2345674,0.005,0.22046834
2.1421404,1.2446146,0.005,0.2133092
2.1237514,1.2462238,0.005,0.22124135
2.3298213,1.1810726,0.005,0.21137419
2.2682416,1.1833109,0.005,0.23514308
2.2812073,1.1697512,0.005,0.2393702
2.3265603,1.1828429,0.005,0.21150543
2.2432802,1.1749235,0.005,0.24223378
2.2257271,1.1950123,0.005,0.23875397
2.2272606,1.2082788,0.005,0.2275915
2.2878227,1.192441,0.005,0.22183308
2.2459133,1.2039567,0.005,0.21117173
2.2692277,1.1953955,0.005,0.22864524
2.2396748,1.1568395,0.005,0.24154159
2.1883998,1.2156734,0.005,0.22528875
2.0750394,1.2614975,0.005,0.19533999
2.0509701,1.2705096,0.005,0.18853231
2.0969403,1.2419735,0.005,0.22325803
2.1073158,1.2238983,0.005,0.24242593
2.0804701,1.246747,0.005,0.22369196
1.9977418,1.2901721,0.005,0.1241271
2.0201354,1.298,0.005,0.12680422
2.0264022,1.2787569,0.005,0.17135954
2.0230424,1.2961173,0.005,0.13089924
2.0141346,1.2746288,0.005,0.17577073
2.3997884,1.1079788,0.005,0.20486891
2.4010098,1.122319,0.005,0.23509546
2.3709183,1.1680416,0.005,0.23315403
2.3532104,1.1549695,0.005,0.23464163
2.3327484,1.1623683,0.005,0.23027931
2.3198087,1.1581603,0.005,0.24265878
2.2935507,1.1711925,0.005,0.24013656
2.3754163,1.1471468,0.005,0.23031323
2.3603497,1.1422958,0.005,0.22902682
2.4192438,1.0656765,0.005,0.19837007
2.4433999,0.99821192,0.005,0.2081638
2.4305544,0.96937603,0.005,0.23408319
2.4361014,0.9544223,0.005,0.22872478
2.4388869,1.019882,0.005,0.21447863
2.4302392,1.043862,0.005,0.21215394
2.4271019,1.0284351,0.005,0.21483105
2.3986063,1.0672272,0.005,0.19962849
2.4968193,0.82295233,0.005,0.20352298
2.47896,0.83149445,0.005,0.23245065
2.4242003,0.92069978,0.005,0.27383009
2.4332356,0.93299633,0.005,0.24251865
2.4547369,0.88271409,0.005,0.22212081
2.4311357,0.88984203,0.005,0.24543574
2.4416258,0.86670274,0.005,0.2464754
2.4893124,0.7992366,0.005,0.21664245
2.4822297,0.80939251,0.005,0.21484947
2.4508772,0.8575061,0.005,0.2504645
2.4746459,0.81963426,0.005,0.23633727
2.4970543,-0.28110886,0.005,0.16220084
2.4782851,-0.29783735,0.005,0.1710953
2.496213,-0.29855824,0.005,0.11283661
2.2067497,1.2140865,0.005,0.21140751
2.2080119,1.1880956,0.005,0.23812586
2.1684325,1.2181846,0.005,0.2207709
2.1498182,1.2208173,0.005,0.22133887
2.1291835,1.2291007,0.005,0.19511272
2.3101435,1.1307756,0.005,0.23260243
2.2863829,1.1307577,0.005,0.23159681
2.2552197,1.1792538,0.005,0.23647498
2.2786155,1.1567851,0.005,0.24444395
2.276123,1.1454202,0.005,0.24212763
2.2735701,1.1158309,0.005,0.22532037
2.2349021,1.1849353,0.005,0.23917176
2.2501252,1.1210164,0.005,0.22312205
2.2516305,1.1455479,0.005,0.23971514
2.2093408,1.2114965,0.005,0.21348777
2.2468674,1.1991081,0.005,0.22725722
2.2502823,1.197837,0.005,0.22736235
2.2235372,1.1521393,0.005,0.24119231
2.1882763,1.2023134,0.005,0.23876135
2.1703296,1.2168417,0.005,0.21333249
2.1485734,1.207377,0.005,0.24400297
2.1351075,1.2062333,0.005,0.24091932
2.1192853,1.2079104,0.005,0.24465223
2.0639536,1.2512425,0.005,0.20712991
2.0447056,1.2558768,0.005,0.22367282
2.0944841,1.2230003,0.005,0.24040699
2.0815895,1.2310292,0.005,0.24184375
2.0066888,1.2827997,0.005,0.14448029
1.9859436,1.2838157,0.005,0.13796043
2.0293121,1.2615948,0.005,0.20096515
2.0178487,1.2501898,0.005,0.23040904
2.0268116,1.2382709,0.005,0.23860724
2.0099347,1.2574372,0.005,0.23444831
1.9176354,1.2853589,0.005,0.2088473
2.3861089,1.1038862,0.005,0.20961246
2.3829947,1.1263663,0.005,0.23838639
2.3357732,1.1420511,0.005,0.23585743
2.3155532,1.1445042,0.005,0.2433871
2.2955892,1.1529217,0.005,0.24318819
2.3797445,1.1279768,0.005,0.23316161
2.3697996,1.0991218,0.005,0.19606228
2.3517742,1.1205759,0.005,0.22108872
2.3665121,1.0803947,0.005,0.18937474
2.4058087,1.0492173,0.005,0.21121356
2.4227931,0.99807692,0.005,0.19796824
2.4162993,0.97438467,0.005,0.22704294
2.4146945,0.95000809,0.005,0.20678395
2.4225695,1.0010004,0.005,0.20666705
2.4066656,1.045595,0.005,0.2170364
2.4121232,1.0216904,0.005,0.2148281
2.3907757,1.0852579,0.005,0.20937356
2.3790226,1.071897,0.005,0.20148255
2.3881419,1.0612471,0.005,0.20304102
2.3971314,1.0209765,0.005,0.22119258
2.387538,1.0025221,0.005,0.22727624
2.4012239,0.97654396,0.005,0.23431312
2.4899509,0.71961457,0.005,0.19496745
2.3944638,0.92159367,0.005,0.29271168
2.4607527,0.83957607,0.005,0.22034697
2.4084983,0.92098773,0.005,0.25826806
2.4141247,0.94665056,0.005,0.19776669
2.4258282,0.85462356,0.005,0.22124323
2.4074488,0.89881819,0.005,0.23726684
2.4288003,0.87697077,0.005,0.25327033
2.4989262,0.65992546,0.005,0.15606172
2.4912515,0.68101496,0.005,0.1718784
2.4987268,0.69995898,0.005,0.18115319
2.4987648,0.73958355,0.005,0.19449976
2.4895327,0.75887352,0.005,0.20900913
2.4820983,0.78903949,0.005,0.20758873
2.4656382,0.79895234,0.005,0.19872014
2.4434526,0.84687114,0.005,0.24197498
2.4608877,0.82056707,0.005,0.22880754
2.4855354,-0.27551696,0.005,0.2152072
2.4980361,-0.26327372,0.005,0.143996
2.4748752,-0.28617716,0.005,0.18398942
2.4602358,-0.29855824,0.005,0.15433881
2.1985226,1.194973,0.005,0.2385291
2.2036529,1.1749918,0.005,0.23769443
2.1303952,1.2251973,0.005,0.20836648
2.3224318,1.1146482,0.005,0.21642755
2.2971256,1.1297162,0.005,0.23264837
2.2304316,1.1161947,0.005,0.2266272
2.261349,1.1612183,0.005,0.24228509
2.263283,1.1461765,0.005,0.24314258
2.2598536,1.1161866,0.005,0.23136477
2.2741144,1.1044385,0.005,0.21959697
2.2218778,1.1717242,0.005,0.2381195
2.2499075,1.1339865,0.005,0.23969448
2.2121911,1.1585655,0.005,0.2444063
2.2192564,1.1409831,0.005,0.24102291
2.1997337,1.1637567,0.005,0.24041976
2.1764991,1.1978594,0.005,0.2350398
2.164098,1.193602,0.005,0.2439473
2.1390722,1.1866696,0.005,0.23174925
2.1159265,1.1949852,0.005,0.24142905
2.0599349,1.2495495,0.005,0.21523197
2.042537,1.2420043,0.005,0.24183263
2.0914898,1.2044812,0.005,0.23805276
2.0665078,1.2234803,0.005,0.24035814
1.9927076,1.2684971,0.005,0.1614297
1.976366,1.2777634,0.005,0.20084219
1.961967,1.2871505,0.005,0.16925792
1.9396242,1.2763666,0.005,0.21747534
1.9615122,1.2982272,0.005,0.10944645
1.9800777,1.2988181,0.005,0.085705593
2.0065427,1.2382088,0.005,0.21313231
2.0192366,1.2218298,0.005,0.24103767
1.9996916,1.2511244,0.005,0.22758035
1.9019526,1.2755079,0.005,0.20582308
1.8778281,1.2846371,0.005,0.20260708
1.8788749,1.2971956,0.005,0.1119022
1.8607646,1.2981304,0.005,0.11500188
1.9379679,1.2598048,0.005,0.23339579
1.9287399,1.2810454,0.005,0.18842468
1.9192197,1.2970583,0.005,0.10743131
2.4898546,0.64374524,0.005,0.13940443
2.381289,1.1224624,0.005,0.24549583
2.3333127,1.1384258,0.005,0.24267279
2.2977433,1.1495255,0.005,0.23832585
2.3366361,1.1171689,0.005,0.22485025
2.3780391,1.124073,0.005,0.24371488
2.3602469,1.1090002,0.005,0.21630171
2.3497832,1.0699474,0.005,0.19662046
2.4191699,0.9961676,0.005,0.19240831
2.4124901,0.95208758,0.005,0.21813802
2.4186738,1.0008186,0.005,0.20810449
2.4050272,1.0427376,0.005,0.21084149
2.3679993,1.0592372,0.005,0.21555525
2.3816273,1.043424,0.005,0.20669773
2.3874993,1.0337335,0.005,0.20708048
2.4171216,0.9984569,0.005,0.19866666
2.3956809,0.99020374,0.005,0.21804599
2.371016,1.0024091,0.005,0.22210875
2.3928406,0.96431005,0.005,0.22503921
2.3119199,1.0895697,0.005,0.19235055
2.2782133,1.092028,0.005,0.19515491
2.4829454,0.72905314,0.005,0.1976335
2.4826334,0.70936954,0.005,0.18888728
2.4758551,0.73862791,0.005,0.20753986
2.4764431,0.7005868,0.005,0.19051945
2.3840513,0.95171183,0.005,0.24607125
2.3897405,0.93572289,0.005,0.23445803
2.3805256,0.90681952,0.005,0.28262007
2.4105074,0.94331473,0.005,0.22898296
2.4220676,0.85479325,0.005,0.22642934
2.4048204,0.89795619,0.005,0.23932298
2.414588,0.87459534,0.005,0.23715863
2.4826207,0.6557197,0.005,0.15255454
2.4766901,0.66568255,0.005,0.1659233
2.4849212,0.67218161,0.005,0.16777821
2.4846458,0.69153118,0.005,0.18033926
2.4749856,0.77844268,0.005,0.22257723
2.4826319,0.74864459,0.005,0.2022261
2.4823718,0.76842928,0.005,0.21036761
2.4987962,0.77939129,0.005,0.20264672
2.4628696,0.79881066,0.005,0.20475762
2.4351566,0.83537602,0.005,0.24601008
2.4611168,0.80155164,0.005,0.20375788
2.4467318,0.81980544,0.005,0.24502443
1.9262831,1.2564783,0.005,0.22484654
1.9164486,1.2502636,0.005,0.23215035
1.9023852,1.2566071,0.005,0.22531244
2.4870307,-0.24787152,0.005,0.24473652
2.4985733,-0.25860885,0.005,0.17402123
2.4819674,-0.26235175,0.005,0.22735019
2.4966094,-0.26075077,0.005,0.18766764
2.4582627,-0.27642977,0.005,0.19247116
2.4500384,-0.28288817,0.005,0.17541279
1.8609457,1.2746502,0.005,0.1971084
1.8363279,1.284515,0.005,0.18960461
1.8389341,1.2973025,0.005,0.11870011
1.8007697,1.2929111,0.005,0.13010217
2.1870193,1.1784515,0.005,0.23266789
2.3187737,1.1006933,0.005,0.21099831
2.2959659,1.1095167,0.005,0.22775975
2.2109597,1.1309046,0.005,0.21930186
2.2261362,1.1054121,0.005,0.2228353
2.218329,1.124115,0.005,0.23249736
